Export
## Arrows
ARROW;Arrow
ARROWHEAD;Arrowhd
ARROWHEAD-SHAPED;ArrowhdShp
BARB;Barb
DOWN ARROWHEAD;DnArrowhd
DOWNWARDS ARROW;DnArrow
HARPOON;Harp
LEFT ARROWHEAD;LArrowhd
LEFTWARDS ARROW;LwArrow
MEDIUM BARB;MedBarb
RIGHT ARROWHEAD;RArrowhd
RIGHTWARDS ARROW;RwArrow
TRIANGLE-HEADED;Trnglhd
UP ARROWHEAD;UpArrowhd
UPWARDS ARROW;UpArrow
WIDE-HEADED;Widehd
## BiDi
LEFT-TO-RIGHT;LTR
RIGHT-TO-LEFT;RTL
## Blocks
BLOCK;Blc
BLOCK DIAGONAL;BlcDgn
BLOCK OCTANT;BlcOct
BLOCK SEXTANT;BlcSxt
FIVE EIGHTHS BLOCK;BlcPrt58
HORIZONTAL WITH VERTICAL STROKE;Cross
LEFT HALF INVERSE MEDIUM SHADE AND RIGHT HALF BLOCK;BlcRShdL
MEDIUM SHADE;BlcShd
ONE EIGHTH BLOCK;BlcPrt18
ONE QUARTER BLOCK;BlcPrt14
SEPARATED BLOCK QUADRANT;SbQuad
SEPARATED BLOCK SEXTANT;SbSext
SEVEN EIGHTHS BLOCK;BlcPrt78
THREE EIGHTHS BLOCK;BlcPrt38
THREE QUARTERS BLOCK;BlcPrt34
TRIANGULAR;Trng
TRIANGULAR HALF BLOCK;BlcTrng12
TRIANGULAR ONE QUARTER BLOCK;BlcTrng14
TRIANGULAR THREE QUARTERS BLOCK;BlcTrng34
UPPER HALF BLOCK AND LOWER HALF INVERSE MEDIUM SHADE;BlcTShdB
UPPER HALF INVERSE MEDIUM SHADE AND LOWER HALF BLOCK;BlcBShdT
FILL;Fil
## Break/Join
CONJOINED;Conj
CONJOINING;Conj
JOINER;Jn
NO BREAK;Nb
NOBREAK;Nb
NON BREAKING;Nb
NON JOINER;Nj
NONBREAKING;Nb
NONJOINER;Njn
## Chess
BLACK CHESS;ChsB
CHESS;Chs
LARGE CHESS;ChsL
NEUTRAL CHESS;ChsN
WHITE CHESS;ChsW
## Colors
BLACK;Bl
WHITE;Wh
## Currency
CENT;Cent
CURRENCY;Curr
DOLLAR;Dollar
DRACHMA;Drch
POUND;Pound
YEN;Yen
## Dashes
DASH;Dash
DOUBLE DASH;2Dsh
QUADRUPLE DASH;4Dsh
THREE EM DASH;Emdash3
TRIPLE DASH;3Dsh
TWO EM DASH;Emdash2
## Diactrics
ACCENT;Acc
ACUTE;Acute
BACKSLASH;Bslash
BARRED;Bar
BARREE;Bar
BREVE;Breve
CARON;Caron
CEDILLA;Cedilla
CIRCUMFLEX;Cfx
DELETION MARK;DeletionMark
DESCENDER;Desc
DIAERESIS;Die
DIAERESIS-RING;DieRing
DIAERESIZED;Die
DIERESIS;Die
DOT BELOW AND DOT ABOVE;DotBA
FISHHOOK;Fhook
GRAVE;Grave
LONG LEG;Lgleg
LONG-LEGGED;Lgleg
MACRON;Macron
MARK;Mark
OGONEK;Ogonek
OPEN MARK;OpenMark
OVERLINE;Ovl
PALATAL HOOK;Phook
PALATALIZED HOOK;Phook
PARENTHESES;Parens
RETROFLEX HOOK;Rhook
RING;Ring
STRIKETHROUGH;Striketh
STROKE;Stroke
TAIL;Tail
THREE DOTS BELOW AND THREE DOTS ABOVE;3dotsBA
THREE-DOT;3dots
THREE-LEGGED;3leg
TILDE;Tilde
TWO-CIRCLE;2circ
## Directions
BOTTOM;B
DESCENDING;Desc
DIAGONAL;Dgn
DOWN;D
DOWN-POINTING;Dp
DOWNWARDS;Dw
FORWARD;Frwd
LEFT;L
LEFT-FACING;Lf
LEFT-HAND;Lh
LEFT-POINTING;Lp
LEFTWARDS;Lw
LOWER;B
NORTH EAST;NE
NORTH WEST;NW
NORTHEAST;NE
NORTHWEST;NW
POINTING DOWNWARDS;Dn
POINTING UPWARDS;Up
RAISED;Rise
RIGHT;R
RIGHT-FACING;Rf
RIGHT-HAND;Rh
RIGHT-POINTING;Rp
RIGHTWARDS;Rw
RISING;Rise
SOUTH EAST;SE
SOUTH WEST;SW
SOUTHEAST;SE
SOUTHWEST;SW
TOP;T
UP;U
UPPER;T
UP-POINTING;Up
UPWARD POINTING;Up
UPWARDS;Uw
DOT;Dot
DOTLESS;Dotl
DOTTED;Dot
FOUR DOTS;4dots
THREE DOTS;3dots
TWO DOTS;2dots
## Enclosed Symbols
DINGBAT NEGATIVE CIRCLED;dnc
DINGBAT NEGATIVE CIRCLED SANS-SERIF;dncss
DOUBLE CIRCLED;dc
NEGATIVE CIRCLED;nc
NEGATIVE SQUARED;nsq
PARENTHESIZED;par
SQUARED;sqd
## Forms
DOUBLE-STRUCK;Dstck
FULLWIDTH;fw
HALFWIDTH;hw
OUTLINED;outl
PRESENTATION FORM;pf
SANS-SERIF;ss
SEGMENTED DIGIT;Sdg
SIDEWAYS;Sdw
## Games
DOMINO TILE;dom
MAHJONG TILE;mhj
PLAYING CARD;crd
XIANGQI;Xnq
## Hyphens
HYPHEN;Hyph
HYPHENATION;Hyphen
HYPHEN-MINUS;Dash
SOFT HYPHEN;Sh
## Length
LONG;Long
SHORT;Short
## Math
ACTUALLY;Act
APPROACHES;Appr
APPROXIMATELY;Aprox
ASYMPTOTICALLY;Asymp
CONTAIN AS;Cont
CONTAINS;Cont
CONTAINS AS;Cont
CUBE ROOT;Root3
DIFFERENCE;Dif
DIFFERENTIAL;Diff
DIVIDER;Div
DIVISION;Div
DOES NOT;Not
ELEMENT OF;Elm
EQUAL TO;Eq
EQUALS;Eq
EQUIVALENT TO;Eqv
EXPONENT;Exp
FACTOR;Fact
FOR ALL;Forall
FOURTH ROOT;Root4
FRACTION;Frac
GEOMETRIC;Geom
GEOMETRICALLY;Geoml
GREATER-THAN;Gt
IMAGE OF;Img
INTERPOLATION;Inpl
INTERSECTION;Insc
LESS-THAN;Lt
MATHEMATICAL;Mat
MINUS;Minus
MULTIPLICATION;Times
NEGATED;Neg
NEITHER;Not
NOT;Not
NOT A;Not
PERCENT;Pct
PLUS;Plus
PROPORTION;Prop
REVERSE SOLIDUS;Bslash
SOLIDUS;Slash
SUBSET OF;Subs
SUPERSET OF;Sups
## Month names
APRIL;Apr
AUGUST;Aug
DECEMBER;Dec
FEBRUARY;Feb
JANUARY;Jan
JULY;Jul
JUNE;Jun
MARCH;Mar
MAY;May
NOVEMBER;Nov
OCTOBER;Oct
SEPTEMBER;Sep
## Musical Symbols
DIMINUTION;Dim
IMPERFECTA;Imp
IMPERFECTUM;Imp
PERFECTUM;Perf
PROLATIONE;Prol
TEMPUS;Temp
## N-grams
HEXAGRAM FOR;Hgram
MONOGRAM FOR;Mgram
TETRAGRAM FOR;Tgram
TRIGRAM FOR;Tgram
## N-tuples
DOUBLE;Dbl
DOUBLED;Dbl
MULTIPLE;Mtpl
QUADRUPLE;4Ple
QUINTUPLE;5Ple
SINGLE;Sgl
TRIPLE;Tple
## Oblique/Upright
OBLIQUE;Obl
UPRIGHT;Upr
## Open/Close
CLOSE;Close
CLOSED;Close
OPEN;Open
OPENED;Open
RIGHT OPEN;Ropen
CORNER BRACKET;Cornbr
CURLY BRACKET;Brace
PARENTHESIS;Paren
SQUARE BRACKET;Bracket
TORTOISE SHELL;Ts
## Parts of speech
CONSONANT;Cons
SEMIVOWEL;Svow
VOWEL;Vow
## Parts
HALF;Half
LOWER LEFT QUADRANT;BLQuad
LOWER RIGHT QUADRANT;BRQuad
QUADRANT;Quad
QUARTER;Qtr
QUARTERS;Qtr
THIRD;Thrd
THIRDS;Thrd
