## Scripts
ABKHASIAN;Abkh
ADLAM;Adlm
ALEUT;Ale
AHOM;Ahom
ANATOLIAN HIEROGLYPH;Hluw
ARABIC;Arab
ARABIC-INDIC;Arai
ARMENIAN;Armn
AVESTAN;Avst
BALINESE;Bali
BAMUM;Bamu
BASSA VAH;Bass
BATAK;Batk
BENGALI;Beng
BENGALI LETTER VEDIC;Bved
BHAIKSUKI;Bhks
BOPOMOFO;Bopo
BRAHMI;Brah
BRAILLE;Brai
BUGINESE;Bugi
BUHID;Buhd
BYELORUSSIAN-UKRAINIAN;ByUk
CANADIAN SYLLABICS;Cans
CARIAN;Cari
CAUCASIAN ALBANIAN;Aghb
CHAKMA;Cakm
CHAM;Cham
CHEROKEE;Cher
CHORASMIAN;Chrs
COMMON;Zyyy
COPTIC;Copt
CUNEIFORM;Xsux
CYPRIOT;Cprt
CYPRO-MINOAN;Cpmn
CYRILLIC;Cyrl
DESERET;Dsrt
DEVANAGARI;Deva
DIVES AKURU;Diak
DOGRA;Dogr
DUPLOYAN;Dupl
EGYPTIAN HIEROGLYPH;Egyp
ELBASAN;Elba
ELYMAIC;Elym
ETHIOPIC;Ethi
FARSI;Fas
GARAY;Gara
GEORGIAN;Geor
GLAGOLITIC;Glag
GOTHIC;Goth
GRANTHA;Gran
GREEK;Grek
GUJARATI;Gujr
GUNJALA GONDI;Gong
GURAGE;Gura
GURMUKHI;Guru
GURUNG KHEMA;Gukh
HAN;Hani
HANGUL;Hang
HANIFI ROHINGYA;Rohg
HANUNOO;Hano
HATRAN;Hatr
HEBREW;Hebr
HENTAIGANA;Hent
HIRAGANA;Hira
IMPERIAL ARAMAIC;Armi
INHERITED;Zinh
INSCRIPTIONAL PAHLAVI;Phli
INSCRIPTIONAL PARTHIAN;Prti
JAPANESE;Jpan
JAVANESE;Java
JUDEO SPANISH;Lad
KAITHI;Kthi
KANGXI;Kang
KANNADA;Knda
KASHMIRI;Kas
KATAKANA;Kana
KATAKANA-HIRAGANA;Jap
KAWI;Kawi
KAYAH LI;Kali
KHAROSHTHI;Khar
KHITAN SMALL SCRIPT;Kits
KHMER;Khmr
KHOJKI;Khoj
KHUDAWADI;Sind
KIRAT RAI;Krai
KOMI;Kom
KIRGHIZ;Kyrg
KOREAN;Kore
LAO;Lao
LATIN;Latn
LEPCHA;Lepc
LIMBU;Limb
LINEAR A;Lina
LINEAR B;Linb
LISU;Lisu
LYCIAN;Lyci
LYDIAN;Lydi
MAHAJANI;Mahj
MAKASAR;Maka
MALAYALAM;Mlym
MALAYALAM VEDIC;Mved
MANDAIC;Mand
MANICHAEAN;Mani
MARCHEN;Marc
MASARAM GONDI;Gonm
MEDEFAIDRIN;Medf
MEETEI MAYEK;Mtei
MENDE KIKAKUI;Mend
MEROITIC CURSIVE;Merc
MEROITIC HIEROGLYPHIC;Mero
MIAO;Plrd
MODI;Modi
MONGOLIAN;Mong
MRO;Mro
MULTANI;Mult
MYANMAR;Mymr
NABATAEAN;Nbat
NAG MUNDARI;Nagm
NANDINAGARI;Nand
NEW TAI LUE;Talu
NEWA;Newa
NKO;Nko
NUSHU;Nshu
NYIAKENG PUACHUE HMONG;Hmnp
OGHAM;Ogam
OL CHIKI;Olck
OL ONAL;Onao
OLD HUNGARIAN;Hung
OLD ITALIC;Ital
OLD NORTH ARABIAN;Narb
OLD PERMIC;Perm
OLD PERSIAN;Xpeo
OLD SOGDIAN;Sogo
OLD SOUTH ARABIAN;Sarb
OLD TURKIC;Orkh
OLD UYGHUR;Ougr
ORIYA;Orya
OSAGE;Osge
OSMANYA;Osma
PAHAWH HMONG;Hmng
PALMYRENE;Palm
PAMPHYLIAN;Pam
PAU CIN HAU;Pauc
PERSIAN;Pers
PHAGS PA;Phag
PHOENICIAN;Phnx
PSALTER PAHLAVI;Phlp
REJANG;Rjng
RUNIC;Runr
RUSSIAN;Rus
SAMARITAN;Samr
SANSKRIT;Sans
SAURASHTRA;Saur
SHARADA;Shrd
SHAVIAN;Shaw
SIDDHAM;Sidd
SIMPLIFIED;Hans
SINHALA;Sinh
SOGDIAN;Sogd
SORA SOMPENG;Sora
SOYOMBO;Soyo
SUNDANESE;Sund
SUNUWAR;Sunu
SYLOTI NAGRI;Sylo
SYRIAC;Syrc
TAGALOG;Tglg
TAGBANWA;Tagb
TAI LE;Tale
TAI THAM;Lana
TAI VIET;Tavt
TAKRI;Takr
TAMIL;Taml
TANGSA;Tnsa
TANGUT;Tang
TELUGU;Telu
THAANA;Thaa
THAI;Thai
TIBETAN;Tibt
TIFINAGH;Tfng
TIRHUTA;Tirh
TODHRI;Todr
TOTO;Toto
TRADITIONAL;Hant
TULU-TIGALARI;Tutg
UGARITIC;Ugar
UIGHUR KIRGHIZ;Uig
UKRAINIAN;Ukr
VAI;Vaii
VEDIC;Ved
VITHKUQI;Vith
WANCHO;Wcho
WARANG CITI;Wara
YEZIDI;Yezi
YI;Yiii
YIDDISH;Yidd
ZANABAZAR SQUARE;Zanb
UNKNOWN SCRIPT;Zzzz
## Numbering Systems
AEGEAN;Anm
COPTIC EPACT;Cnm
COUNTING ROD;Crd
EXTENDED ARABIC-INDIC;Anm
GREEK ACROFONIC;Gnm
HANGZHOU NUMERAL;Hnm
INDIC SIYAQ;Inm
KAKTOVIK NUMERAL;Knm
MAYAN NUMERAL;Mnm
OTTOMAN SIYAQ;Onm
ROMAN NUMERAL;Rom
SMALL ROMAN;Rsm
RUMI;Rum
## Subsets
